model,N,Za,Zb,C,disruptor_count,disruptor_fraction,t,h,qa,qb,nr_states,nr_transitions,build_time,check_time,total_time,reach_a,reach_b,reach_consensus,reach_a_first,reach_b_first,reach_robust95_a,reach_robust95_b,reach_robust99_a,reach_robust99_b,exp_consensus_time,status,error
voter_zealots,20,0,0,0,0,0.0,35,40,1.05,0.95,21,40,0.25127772399991954,0.05460062000020116,0.30678217799959384,0.9475417921492322,0.8572997167064482,0.9999999999999994,0.5250000000000001,0.4750000000000001,0.708113767963215,0.26028317798655237,0.708113767963215,0.26028317798655237,0.1,ok,
voter_contrarians,20,0,0,0,0,0.0,35,40,1.05,0.95,21,40,0.12974920200031193,0.016892259000087506,0.14673755899912067,0.9475417921492322,0.8572997167064482,0.9999999999999994,0.5250000000000001,0.4750000000000001,0.708113767963215,0.26028317798655237,0.708113767963215,0.26028317798655237,0.1,ok,
crossinh_zealots,20,0,0,0,0,0.0,35,40,1.05,0.95,230,762,0.0637047000000166,0.0264052359998459,0.09018887099955464,0.7413279310546121,0.5456258343948412,0.9999999997491562,0.5649159555126304,0.43508404423652614,0.6425386296487655,0.3594165533288005,0.6421392501394708,0.3582014441514578,0.8908391185553921,ok,
crossinh_contrarians,20,0,0,0,0,0.0,35,40,1.05,0.95,230,762,0.06741762299952825,0.020637898000131827,0.08815380499981984,0.7413279310546121,0.5456258343948412,0.9999999997491562,0.5649159555126304,0.43508404423652614,0.6425386296487655,0.3594165533288005,0.6421392501394708,0.3582014441514578,0.8908391185553921,ok,
voter_zealots,20,1,1,0,2,0.1,35,40,1.05,0.95,19,36,0.1447286719994736,0.017451222000090638,0.16239234600016061,0.9984686401206042,0.9734180072651347,0.9999999999999999,0.5249999999999997,0.47500000000000003,0.0,0.0,0.0,0.0,0.1111111111111111,ok,
voter_contrarians,20,0,0,2,2,0.1,35,40,1.05,0.95,57,216,0.03764375900027517,0.012624472999959835,0.050405121999574476,0.9999278718698124,0.9978235676185518,0.9999999999999991,0.5204545454545451,0.47954545454545383,0.0,0.0,0.0,0.0,0.10101010101010101,ok,
crossinh_zealots,20,1,1,0,2,0.1,35,40,1.05,0.95,190,684,0.023182765999990806,0.01776114200038137,0.041066117000809754,0.7682885152620286,0.5654068241869262,0.9999999997232517,0.5634481909449282,0.4365518087783232,0.658931498122243,0.3436869389138615,0.6580647185958123,0.0,0.8918451545169886,ok,
crossinh_contrarians,20,0,0,2,2,0.1,35,40,1.05,0.95,570,3044,0.02687539199996536,0.02253482900050585,0.04953408999972453,0.821725298772722,0.6493609222000236,0.999999999871136,0.5404778403043373,0.45952215956679826,0.0,0.0,0.0,0.0,0.6571617218936404,ok,
voter_zealots,20,2,2,0,4,0.2,35,40,1.05,0.95,17,32,0.016757246000452142,0.013785312999971211,0.03061050999986037,0.9999169992986631,0.9959641693911112,1.0,0.5249999999999999,0.47499999999999953,0.0,0.0,0.0,0.0,0.125,ok,
voter_contrarians,20,0,0,4,4,0.2,35,40,1.05,0.95,85,388,0.019131463000121585,0.01903575900087162,0.038259783999819774,0.999999449608429,0.9999832300729118,0.9999999999999996,0.5162371134020616,0.48376288659793787,0.0,0.0,0.0,0.0,0.10309278350515465,ok,
