model,N,Za,Zb,C,disruptor_count,disruptor_fraction,t,h,qa,qb,stable_a,stable_a_ci_lo,stable_a_ci_hi,stable_b,stable_b_ci_lo,stable_b_ci_hi,stable_consensus,stable_consensus_ci_lo,stable_consensus_ci_hi,reach_a,reach_a_ci_lo,reach_a_ci_hi,reach_b,reach_b_ci_lo,reach_b_ci_hi,reach_consensus,reach_consensus_ci_lo,reach_consensus_ci_hi,episodes,confidence,base_seed,config_seed,total_time,status,error
voter_zealots,20,0,0,0,0,0.0,35,40,1.05,0.95,0.716,0.6983766627469534,0.7329873249295715,0.26666666666666666,0.25003889776457844,0.28398148591818784,0.9826666666666667,0.9768982302545774,0.9870138903559289,0.9462222222222222,0.9368849407928392,0.9542456016500229,0.852,0.837846757831855,0.8651167776410004,1.0,0.9985277492512151,1.0,4500,0.99,0,6141977901675610672,1.2993857440014835,ok,
voter_contrarians,20,0,0,0,0,0.0,35,40,1.05,0.95,0.728,0.7105868012254625,0.7447418524330917,0.2597777777777778,0.24330203598808925,0.2769608542605492,0.9877777777777778,0.9827829703673204,0.9913363227910871,0.9522222222222222,0.9433452619361428,0.9597676134977339,0.8562222222222222,0.8422249289901669,0.8691706185874766,1.0,0.9985277492512151,1.0,4500,0.99,0,4476300906514953645,1.3785161070045433,ok,
crossinh_zealots,20,0,0,0,0,0.0,35,40,1.05,0.95,0.6424444444444445,0.6238435891190387,0.6606258718898631,0.35733333333333334,0.33915476546914597,0.375931983411174,0.9997777777777778,0.998110049781248,0.9999739093591887,0.7491111111111111,0.7321060069833025,0.7653827071991917,0.5471111111111111,0.5279420161161351,0.5661414873688683,1.0,0.9985277492512151,1.0,4500,0.99,0,6729267635567133820,1.0315025849995436,ok,
crossinh_contrarians,20,0,0,0,0,0.0,35,40,1.05,0.95,0.6375555555555555,0.6189072684412555,0.6557988101305232,0.36244444444444446,0.34420118986947684,0.3810927315587445,1.0,0.9985277492512151,1.0,0.7397777777777778,0.722586040655588,0.756263488874217,0.556,0.5368531235653741,0.5749819843507621,1.0,0.9985277492512151,1.0,4500,0.99,0,14579540460416574617,0.9650212850028765,ok,
voter_zealots,20,1,1,0,2,0.1,35,40,1.05,0.95,0.11711111111111111,0.10532399971115579,0.13002563941780265,0.004666666666666667,0.002681100399548863,0.008110742675580755,0.12177777777777778,0.10977419101828241,0.13489504043702072,0.9984444444444445,0.9960298000700901,0.9993914184056768,0.978,0.971624210610195,0.9829683176739666,1.0,0.9985277492512151,1.0,4500,0.99,0,14366477098669068671,6.739260888003628,ok,
voter_contrarians,20,0,0,2,2,0.1,35,40,1.05,0.95,0.005555555555555556,0.003340096135707718,0.009226907382535171,0.0,0.0,0.0014722507487849438,0.005555555555555556,0.003340096135707718,0.009226907382535171,1.0,0.9985277492512151,1.0,0.998,0.995402371035322,0.9991312672188882,1.0,0.9985277492512151,1.0,4500,0.99,0,504846181248423171,9.427810111003055,ok,
crossinh_zealots,20,1,1,0,2,0.1,35,40,1.05,0.95,0.6517777777777778,0.6332732636704747,0.6698353819911164,0.346,0.3279730093665949,0.3644804438640308,0.9977777777777778,0.9950951875482201,0.9989946605952118,0.7695555555555555,0.7529955914230089,0.7853218129510906,0.5691111111111111,0.5500082816901886,0.5880104427618682,1.0,0.9985277492512151,1.0,4500,0.99,0,4133126059682332886,2.9830574359948514,ok,
crossinh_contrarians,20,0,0,2,2,0.1,35,40,1.05,0.95,0.6024444444444444,0.5835150592643032,0.6210721818045013,0.22511111111111112,0.2094852998524765,0.24154633311474438,0.8275555555555556,0.8125704300713406,0.8415761932159,0.8151111111111111,0.7997444788865334,0.8295498981971213,0.6437777777777778,0.6251902184323688,0.6619419832412028,1.0,0.9985277492512151,1.0,4500,0.99,0,8328134668304072622,5.747268425002403,ok,
voter_zealots,20,2,2,0,4,0.2,35,40,1.05,0.95,0.006,0.003676151602757706,0.009778432137041819,0.00022222222222222223,2.6090640811303424e-05,0.001889950218751958,0.006222222222222222,0.003845616518066919,0.010052757332510922,1.0,0.9985277492512151,1.0,0.9957777777777778,0.9924550532645721,0.9976406838818549,1.0,0.9985277492512151,1.0,4500,0.99,0,10777002257774778693,6.778439396999602,ok,
voter_contrarians,20,0,0,4,4,0.2,35,40,1.05,0.95,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,1.0,0.9985277492512151,1.0,1.0,0.9985277492512151,1.0,1.0,0.9985277492512151,1.0,4500,0.99,0,17436233662949723822,10.667720752993773,ok,
crossinh_zealots,20,2,2,0,4,0.2,35,40,1.05,0.95,0.6491111111111111,0.6305782898557275,0.6672048744765238,0.208,0.19285050342522578,0.2240092910120646,0.8571111111111112,0.8431471470872812,0.8700235609334755,0.83,0.8150929706225135,0.8439353438832883,0.6024444444444444,0.5835150592643032,0.6210721818045013,1.0,0.9985277492512151,1.0,4500,0.99,0,16750514138420182385,4.822097998003301,ok,
crossinh_contrarians,20,0,0,4,4,0.2,35,40,1.05,0.95,0.014666666666666666,0.010713558299886324,0.020048839760267598,0.0015555555555555555,0.0006085815943231792,0.003970199929909988,0.01622222222222222,0.012035175742421987,0.021833753093180155,0.9597777777777777,0.9515316190284862,0.9666701201718533,0.86,0.8461455797607784,0.8727943997000964,1.0,0.9985277492512151,1.0,4500,0.99,0,15711193306479248842,9.830631438999262,ok,
voter_zealots,20,3,3,0,6,0.3,35,40,1.05,0.95,0.00022222222222222223,2.6090640811303424e-05,0.001889950218751958,0.0,0.0,0.0014722507487849438,0.00022222222222222223,2.6090640811303424e-05,0.001889950218751958,1.0,0.9985277492512151,1.0,0.9995555555555555,0.9977269420250728,0.9999132270045857,1.0,0.9985277492512151,1.0,4500,0.99,0,317030762918043422,6.386106378995464,ok,
voter_contrarians,20,0,0,6,6,0.3,35,40,1.05,0.95,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,1.0,0.9985277492512151,1.0,1.0,0.9985277492512151,1.0,1.0,0.9985277492512151,1.0,4500,0.99,0,3260085495065285027,11.498127851999016,ok,
